Run number;Max width;Min width;Number of orders;Average reel width;Deviation of widths;Number of ordered reels;Weighted average width;Total waste percentage
01037;4900;600;183;2647.54098360656;1120.96993284569;1393.60414795976;2589.27166827168;0
01040;5000;500;267;2397.75280898876;1276.41805512491;2308.09016618512;2576.31305909547;0
01043;5000;600;264;2709.09090909091;1313.68662718388;2214.94856584475;2859.36832987274;0.9287925697
01045;4900;500;264;2864.77272727273;1294.47845592947;2298.67934394382;2720.84205854696;0.3164556962
01046;4900;600;231;3014.28571428571;1077.76511344149;1528.84197948743;3075.61090901282;0.4837462781
01048;5000;500;339;2771.6814159292;1336.03686392038;2581.49849674241;2869.08047537903;0.9433962264
00703;4600;500;66;2240.90909090909;1183.99288884653;546.211990101653;2360.37538115866;0.7510890792
00705;5000;600;39;2684.61538461538;1472.29474693838;322.566244361642;2943.81420782292;6.3479623824
00712;4500;700;48;2312.5;1000.34568493182;463.863944124597;2460.09400029729;1.0226100009
00716;4700;600;48;2581.25;1280.40157430759;284.21508657177;2550.61863849026;0
00717;4900;500;45;3153.33333333333;1299.75522171047;451.060368200865;3139.05331475034;2.4091850179
00721;4700;1200;30;2900;1284.12052286434;328.323377746903;2908.88718102953;4.7262350633
00724;4600;600;63;2966.66666666667;1206.56804682243;448.067464955839;2836.14731441663;1.2301706896
00730;4800;600;45;2480;1557.62056296834;332.432085026127;2206.48260662027;0.6230529595
00733;5000;1000;57;3068.42105263158;1196.89447779553;487.910247111879;3212.65637137758;3.6260322132
00735;5000;900;69;3173.91304347826;1170.30063682913;562.164084367477;3211.67781126143;1.4935165174
00740;5000;900;60;2825;1126.05882376378;528.703085545596;2778.98748190116;1.7632565063
00743;4900;1000;57;2900;1253.70878368372;450.580233012036;2854.26674402438;1.1569230769
00745;5000;800;51;3035.29411764706;1145.2202459635;379.883094509449;3025.11152626845;3.2816830436
00752;4700;600;42;2214.28571428571;1199.91288882425;440.006003114576;2345.95139726463;0.6211180124
00756;4600;900;51;2652.94117647059;1228.71525443065;364.809063477725;2830.24871111632;0.8723363162
00757;4600;800;51;2864.70588235294;1191.94354386636;460.187159354754;2831.40352278567;0.406649069
00766;3800;1400;30;2620;720.344745052074;237.176887664805;2701.11800410727;3.7720335063
00768;4800;800;54;2822.22222222222;1118.23085790561;476.927567619029;3003.41378244922;1.9086176981
00769;4900;500;69;2673.91304347826;1348.59972846708;567.707182507468;2598.06426629385;0.477383936
00772;4900;900;48;3031.25;1220.94421954242;347.280499982192;2763.30070609529;1.1175246661
00776;4500;800;39;2530.76923076923;965.497920669855;292.509985715216;2588.60969828566;1.347863493
00777;4900;800;42;2650;1279.52925795045;334.993398749867;2927.73751523979;1.1387163561
00781;5000;500;60;2940;1344.44242112811;554.640133667356;2788.25448077493;0.6211180124
00784;4900;1000;66;2831.81818181818;1132.0721764037;554.15364833228;2629.71478728758;0.2307692308
00796;4300;800;42;2914.28571428571;1017.78607857553;296.270250248293;2592.64222300752;1.4798957558
00807;5000;500;159;2745.28301886792;999.094407242495;1388.41626788327;2838.89435480058;0.408181985
00810;4900;500;153;2527.45098039216;921.257385467621;1368.62183147731;2530.26394748339;0
00813;4900;600;138;2947.82608695652;807.737887610162;1159.46349344217;2975.33896553755;4.261254664
00818;4700;600;144;2858.33333333333;824.663525366516;956.550777846872;2962.44776492431;0.9152556922
00819;4000;1600;111;2827.02702702703;582.306689881785;967.317343648518;2780.32034455956;1.0043133973
00827;4900;1200;138;2986.95652173913;671.834408577291;1133.93505223858;2976.68885046688;0.6555434513
00832;4900;1100;90;2790;962.91341624832;671.970880749169;2913.43638127629;1.8775720165
00835;4600;700;54;2511.11111111111;1022.69836691252;449.270155009333;2279.937984043;0
00841;4800;800;75;2440;1095.81513532658;538.931361496127;2644.43704960835;0.8297325239
00844;4600;500;144;2504.16666666667;834.808717255393;1152.36697871269;2410.40890284518;0.6309148265
00846;4900;700;72;2504.16666666667;998.370150668818;609.650186104713;2380.85521446453;1.2539184953
00848;4900;500;93;2596.77419354839;834.377092950083;630.083413975585;2686.34629242145;0.3057199211
00849;4700;800;114;2957.89473684211;805.390548568995;841.914291171193;2878.09655339753;0.5490130338
